                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.38847,                0.53607,                0.82137,                0.99692,                      1,                  0.995,                0.95078,                0.34364,                0.46475,                0.79028,               0.001307,               0.001307,               0.001307
                     38,                0.35004,                 0.5331,                0.81047,                0.99692,                      1,                  0.995,                0.94671,                0.37342,                0.45204,                0.78993,              0.0012872,              0.0012872,              0.0012872
                     39,                0.36841,                0.50628,                0.80566,                0.99695,                      1,                  0.995,                0.96055,                0.37123,                0.51548,                0.78063,              0.0012674,              0.0012674,              0.0012674
                     40,                0.35524,                0.47087,                 0.8106,                0.99693,                      1,                  0.995,                0.97643,                0.31435,                0.46424,                0.78136,              0.0012476,              0.0012476,              0.0012476
                     41,                0.35425,                0.48439,                0.81582,                0.99692,                      1,                  0.995,                0.96627,                0.34097,                0.45197,                0.78356,              0.0012278,              0.0012278,              0.0012278
                     42,                0.37484,                0.46633,                0.80775,                0.99687,                      1,                  0.995,                0.98402,                0.31266,                0.42183,                0.77559,               0.001208,               0.001208,               0.001208
                     43,                0.36857,                0.46251,                0.81482,                0.99693,                      1,                  0.995,                0.95013,                0.32937,                0.43266,                0.78386,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.3596,                0.46226,                0.79489,                0.99696,                      1,                  0.995,                 0.9151,                0.36467,                0.40375,                0.78394,              0.0011684,              0.0011684,              0.0011684
                     45,                0.35493,                0.43749,                0.80342,                0.99694,                      1,                  0.995,                0.93526,                0.37575,                0.41019,                0.79524,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.3534,                 0.4365,                0.81065,                 0.9969,                      1,                  0.995,                0.93052,                 0.3443,                0.39293,                0.79018,              0.0011288,              0.0011288,              0.0011288
                     47,                0.37724,                0.45827,                0.81607,                0.99704,                      1,                  0.995,                0.94141,                0.34197,                0.40213,                0.78998,               0.001109,               0.001109,               0.001109
                     48,                0.34693,                0.42061,                0.82434,                0.99709,                      1,                  0.995,                0.93935,                0.34567,                0.38669,                0.77877,              0.0010892,              0.0010892,              0.0010892
                     49,                0.36074,                0.41632,                0.80766,                0.99707,                      1,                  0.995,                0.95025,                 0.3295,                0.37731,                  0.777,              0.0010694,              0.0010694,              0.0010694
                     50,                0.36801,                0.41348,                0.79514,                0.99703,                      1,                  0.995,                  0.967,                 0.2992,                0.36101,                0.77229,              0.0010496,              0.0010496,              0.0010496
                     51,                0.35211,                0.40309,                0.80941,                0.99703,                      1,                  0.995,                0.95355,                0.32908,                0.39172,                0.77469,              0.0010298,              0.0010298,              0.0010298
                     52,                0.34802,                 0.4163,                0.80696,                0.99704,                      1,                  0.995,                0.93958,                0.35452,                0.37989,                0.77617,                0.00101,                0.00101,                0.00101
                     53,                 0.3426,                0.38992,                0.79371,                0.99699,                      1,                  0.995,                0.95099,                0.31568,                0.38168,                0.77524,              0.0009902,              0.0009902,              0.0009902
                     54,                0.31235,                0.41183,                0.79507,                0.99689,                      1,                  0.995,                0.95717,                0.27247,                0.34357,                0.77003,              0.0009704,              0.0009704,              0.0009704
                     55,                0.34717,                0.37836,                0.83055,                0.99699,                      1,                  0.995,                0.92678,                 0.3322,                0.34796,                0.77843,              0.0009506,              0.0009506,              0.0009506
                     56,                0.32876,                0.38445,                0.80911,                0.99701,                      1,                  0.995,                0.96924,                 0.2634,                0.31109,                 0.7647,              0.0009308,              0.0009308,              0.0009308
                     57,                0.32316,                0.36486,                0.79309,                0.99699,                      1,                  0.995,                0.98144,                0.28597,                0.33318,                0.76526,               0.000911,               0.000911,               0.000911
                     58,                0.34184,                0.39372,                0.80438,                0.99709,                      1,                  0.995,                0.95641,                0.31589,                0.30684,                0.76726,              0.0008912,              0.0008912,              0.0008912
                     59,                0.34244,                0.37173,                0.81729,                0.99695,                      1,                  0.995,                0.95564,                0.30546,                0.29655,                0.77683,              0.0008714,              0.0008714,              0.0008714
                     60,                0.29857,                 0.3489,                0.80178,                0.99693,                      1,                  0.995,                0.91652,                0.33228,                0.29518,                0.77263,              0.0008516,              0.0008516,              0.0008516
                     61,                0.38191,                  0.391,                0.80751,                0.99695,                      1,                  0.995,                0.95534,                0.31964,                0.29696,                0.77051,              0.0008318,              0.0008318,              0.0008318
                     62,                0.35222,                0.37821,                0.80918,                0.99694,                      1,                  0.995,                0.94863,                0.30253,                0.29634,                0.76759,               0.000812,               0.000812,               0.000812
