                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8141,                0.55899,                 1.1415,                0.98352,                0.44068,                0.50022,                0.38502,                0.87466,                0.59139,                 1.1774,             0.00057778,             0.00057778,             0.00057778
                     36,                0.81307,                0.55295,                 1.1566,                0.99255,                0.45279,                0.50354,                0.39007,                0.87531,                0.57093,                 1.1656,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.7566,                0.52232,                 1.1256,                0.98856,                0.45839,                0.49993,                0.38707,                0.82332,                0.54394,                 1.1424,             0.00051177,             0.00051177,             0.00051177
                     38,                0.78296,                0.54258,                 1.1397,                0.98376,                0.44758,                0.55238,                0.41677,                0.84085,                0.55565,                 1.1371,             0.00047876,             0.00047876,             0.00047876
                     39,                0.78766,                 0.5438,                 1.1475,                0.99088,                0.46197,                0.48608,                 0.3855,                 0.8302,                0.53066,                 1.1443,             0.00044576,             0.00044576,             0.00044576
                     40,                0.80927,                0.54186,                 1.1636,                0.98692,                0.45708,                0.49015,                0.38178,                0.82778,                0.51203,                 1.1455,             0.00041275,             0.00041275,             0.00041275
                     41,                0.71061,                0.47913,                 1.1184,                0.98868,                0.46299,                0.48455,                0.37759,                0.84401,                0.62711,                 1.1696,             0.00037974,             0.00037974,             0.00037974
                     42,                0.68046,                0.46436,                 1.1088,                0.98193,                0.45779,                0.49261,                0.38163,                0.88093,                0.57327,                 1.1741,             0.00034674,             0.00034674,             0.00034674
                     43,                0.69642,                0.45278,                 1.1231,                0.98605,                0.46137,                0.52934,                0.41631,                0.80881,                0.51079,                 1.1272,             0.00031373,             0.00031373,             0.00031373
                     44,                0.67246,                0.43258,                 1.1231,                0.98435,                0.45923,                0.60721,                0.47032,                0.79461,                0.52017,                 1.1162,             0.00028072,             0.00028072,             0.00028072
                     45,                0.63883,                0.40828,                 1.0914,                0.96981,                0.46781,                0.49262,                0.39319,                0.77142,                0.49858,                 1.1044,             0.00024772,             0.00024772,             0.00024772
                     46,                 0.6311,                0.40057,                  1.068,                0.98595,                0.45923,                0.48137,                0.38662,                0.78636,                0.54079,                 1.1126,             0.00021471,             0.00021471,             0.00021471
                     47,                0.61375,                0.39347,                 1.0646,                0.98645,                 0.4624,                0.48631,                0.38779,                0.77286,                0.50367,                 1.0975,              0.0001817,              0.0001817,              0.0001817
                     48,                0.59727,                0.39232,                 1.0547,                0.98635,                0.45877,                0.73225,                0.58306,                0.77445,                0.48754,                 1.0979,              0.0001487,              0.0001487,              0.0001487
                     49,                0.59858,                0.37412,                 1.0576,                0.97784,                0.46352,                0.60825,                0.48492,                 0.7781,                0.50138,                 1.1031,             0.00011569,             0.00011569,             0.00011569
                     50,                0.57518,                 0.3777,                 1.0574,                0.98418,                0.45963,                0.48691,                0.39334,                0.76661,                0.50133,                 1.0894,             8.2683e-05,             8.2683e-05,             8.2683e-05
                      1,                 1.0755,                 2.1209,                 1.3552,                0.88923,                0.33476,                0.35801,                0.23354,                 1.1381,                  2.104,                 1.5153,             0.00054065,             0.00054065,             0.00054065
                      2,                  1.037,                 1.4046,                 1.3058,                0.87385,                0.34343,                0.37184,                0.24812,                 1.1625,                 2.0072,                 1.4883,              0.0010746,              0.0010746,              0.0010746
                      3,                 1.1151,                 1.3874,                 1.3775,                0.83881,                0.33378,                0.37238,                0.21452,                 1.4477,                 1.8386,                 1.8315,              0.0015866,              0.0015866,              0.0015866
                      4,                 1.1235,                 1.3277,                 1.3616,                0.88854,                 0.3133,                0.35972,                0.20643,                 1.3741,                 1.7952,                 1.8636,               0.001568,               0.001568,               0.001568
                      5,                 1.1491,                 1.2018,                 1.3717,                0.83688,                0.35193,                0.35853,                0.22825,                 1.2281,                 1.6049,                 1.5457,               0.001568,               0.001568,               0.001568
                      6,                 1.0897,                 1.1376,                 1.3391,                0.79332,                0.34719,                0.34412,                0.22711,                 1.2543,                 1.6422,                  1.533,               0.001535,               0.001535,               0.001535
                      7,                 1.1019,                 1.1247,                 1.3508,                0.86598,                0.40987,                0.42191,                0.26846,                 1.1896,                 1.2049,                 1.4724,               0.001502,               0.001502,               0.001502
                      8,                 1.0571,                0.99597,                  1.313,                0.88577,                0.34979,                0.39638,                0.22293,                 1.3893,                 1.3918,                 1.8029,               0.001469,               0.001469,               0.001469
                      9,                 1.0517,                0.96602,                 1.3073,                0.89292,                0.38627,                  0.431,                0.29153,                 1.1429,                 1.2307,                 1.4125,               0.001436,               0.001436,               0.001436
                     10,                0.98848,                0.90798,                 1.2678,                0.96235,                0.39533,                0.45364,                0.30775,                 1.1229,                 1.0049,                 1.4172,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0474,                0.89364,                 1.2993,                 0.9407,                 0.4465,                0.49617,                0.35618,                 1.0407,                0.82416,                 1.3437,              0.0013699,              0.0013699,              0.0013699
                     12,                0.96274,                0.86958,                 1.2539,                0.96099,                0.43348,                0.46619,                0.33523,                  1.029,                0.82985,                 1.3484,              0.0013369,              0.0013369,              0.0013369
                     13,                0.97208,                0.82724,                 1.2726,                0.92031,                0.41877,                0.44801,                 0.3191,                 1.0359,                0.90722,                 1.3509,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.0111,                 0.8596,                 1.2876,                0.93222,                0.43348,                0.45227,                0.31599,                 1.0779,                0.88836,                 1.4069,              0.0012709,              0.0012709,              0.0012709
